year,county,hospital,oshpdid,procedure_condition,risk_adjusted_mortality_rate,number_of_deaths,number_of_cases,longitude,latitude,hospital_ratings
2012,Alameda,Alameda Hospital,106010735,AAA Repair,,,,-122.25362,37.762953,As Expected
2012,Alameda,Alameda Hospital,106010735,Hip Fracture,0,0,35,-122.25362,37.762953,As Expected
2012,Alameda,Alameda Hospital,106010735,Pneumonia,2.7,5,148,-122.25362,37.762953,As Expected
2012,Alameda,Alameda Hospital,106010735,Pancreatic Cancer,,,,-122.25362,37.762953,As Expected
2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Acute Stroke Hemorrhagic,23.4,18,80,-122.25784,37.85633,As Expected
2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Pancreatic Other,,,,-122.25784,37.85633,As Expected
2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Craniotomy,7.9,8,59,-122.25784,37.85633,As Expected
2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Hip Fracture,,,,-122.25784,37.85633,As Expected
2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Pneumonia,,,,-122.25784,37.85633,As Expected
2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Pancreatic Cancer,,,,-122.25784,37.85633,As Expected
2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Heart Failure,1.6,4,230,-122.25784,37.85633,As Expected
2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,PCI,,,,-122.25784,37.85633,As Expected
2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Acute Stroke Subarachnoid,0,0,6,-122.25784,37.85633,As Expected
2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,GI Hemorrhage,2.9,5,173,-122.25784,37.85633,As Expected
2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Acute Stroke,7.5,21,246,-122.25784,37.85633,As Expected
2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Acute Stroke Ischemic,2.4,3,160,-122.25784,37.85633,As Expected
2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Carotid Endarterectomy,0,0,7,-122.25784,37.85633,As Expected
2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Espophageal Resection,,,,-122.25784,37.85633,As Expected
2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Pancreatic Resection,,,,-122.25784,37.85633,As Expected
2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,AAA Repair,,,,-122.25784,37.85633,As Expected
2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,AMI,6,3,26,-122.25784,37.85633,As Expected
2012,Alameda,Eden Medical Center,106010805,Espophageal Resection,,,,-122.08753,37.69871,As Expected
2012,Alameda,Eden Medical Center,106010805,GI Hemorrhage,3.2,5,142,-122.08753,37.69871,As Expected
2012,Alameda,Eden Medical Center,106010805,Acute Stroke Hemorrhagic,22,36,152,-122.08753,37.69871,As Expected
2012,Alameda,Eden Medical Center,106010805,AAA Repair,,,,-122.08753,37.69871,As Expected
2012,Alameda,Eden Medical Center,106010805,Acute Stroke Subarachnoid,28.7,26,70,-122.08753,37.69871,As Expected
2012,Alameda,Eden Medical Center,106010805,Pancreatic Resection,0,0,3,-122.08753,37.69871,As Expected
2012,Alameda,Eden Medical Center,106010805,Craniotomy,8.1,22,145,-122.08753,37.69871,As Expected
2012,Alameda,Eden Medical Center,106010805,Heart Failure,3.6,11,240,-122.08753,37.69871,As Expected
2012,Lassen,Banner Lassen Medical Center,106184008,PCI,,,,-120.64609,40.42306,As Expected
2012,Lassen,Banner Lassen Medical Center,106184008,Pancreatic Cancer,,,,-120.64609,40.42306,As Expected
2012,Lassen,Banner Lassen Medical Center,106184008,Pneumonia,,,,-120.64609,40.42306,As Expected
2012,Lassen,Banner Lassen Medical Center,106184008,Pancreatic Resection,,,,-120.64609,40.42306,As Expected
2012,Lassen,Banner Lassen Medical Center,106184008,Pancreatic Other,,,,-120.64609,40.42306,As Expected
2012,Lassen,Banner Lassen Medical Center,106184008,Hip Fracture,,,,-120.64609,40.42306,As Expected
2012,Lassen,Banner Lassen Medical Center,106184008,Heart Failure,0,0,20,-120.64609,40.42306,As Expected
2012,Lassen,Banner Lassen Medical Center,106184008,Espophageal Resection,,,,-120.64609,40.42306,As Expected
2012,Los Angeles,Alhambra Hospital,106190017,Espophageal Resection,,,,-118.1449,34.08988,As Expected
2012,Los Angeles,Alhambra Hospital,106190017,Pancreatic Resection,57,1,3,-118.1449,34.08988,As Expected
2012,Los Angeles,Alhambra Hospital,106190017,Pancreatic Other,68.4,1,3,-118.1449,34.08988,As Expected
2012,Los Angeles,Alhambra Hospital,106190017,Pneumonia,4,8,154,-118.1449,34.08988,As Expected
2012,Los Angeles,Alhambra Hospital,106190017,GI Hemorrhage,3,3,77,-118.1449,34.08988,As Expected
2012,Los Angeles,Alhambra Hospital,106190017,Craniotomy,0,0,5,-118.1449,34.08988,As Expected
2012,Los Angeles,Alhambra Hospital,106190017,Hip Fracture,0,0,30,-118.1449,34.08988,As Expected
2012,Los Angeles,Alhambra Hospital,106190017,AMI,6.5,4,27,-118.1449,34.08988,As Expected
2012,Los Angeles,Alhambra Hospital,106190017,AAA Repair,,,,-118.1449,34.08988,As Expected
2012,Los Angeles,Alhambra Hospital,106190017,Acute Stroke Ischemic,4.1,3,63,-118.1449,34.08988,As Expected
2012,Los Angeles,Alhambra Hospital,106190017,Acute Stroke Hemorrhagic,32.5,3,13,-118.1449,34.08988,As Expected
2012,Los Angeles,Alhambra Hospital,106190017,Carotid Endarterectomy,,,,-118.1449,34.08988,As Expected
2012,Los Angeles,Alhambra Hospital,106190017,PCI,,,,-118.1449,34.08988,As Expected
2012,Los Angeles,Alhambra Hospital,106190017,Acute Stroke Subarachnoid,,,,-118.1449,34.08988,As Expected
2012,Los Angeles,Alhambra Hospital,106190017,Pancreatic Cancer,,,,-118.1449,34.08988,As Expected
2012,Los Angeles,Alhambra Hospital,106190017,Acute Stroke,9.3,6,77,-118.1449,34.08988,As Expected
2012,Los Angeles,Alhambra Hospital,106190017,Heart Failure,1.6,2,108,-118.1449,34.08988,As Expected
2012,Los Angeles,Antelope Valley Hospital,106190034,Acute Stroke Subarachnoid,29.5,2,6,-118.15767,34.68928,As Expected
2012,Los Angeles,Antelope Valley Hospital,106190034,Acute Stroke Hemorrhagic,23.9,14,70,-118.15767,34.68928,As Expected
2012,Los Angeles,Antelope Valley Hospital,106190034,Acute Stroke,9.3,28,354,-118.15767,34.68928,As Expected
2012,Los Angeles,Antelope Valley Hospital,106190034,PCI,3.6,9,287,-118.15767,34.68928,As Expected
2012,Los Angeles,Antelope Valley Hospital,106190034,Pancreatic Other,0,0,4,-118.15767,34.68928,As Expected
2012,Los Angeles,Antelope Valley Hospital,106190034,Hip Fracture,1.9,2,156,-118.15767,34.68928,As Expected
2012,Los Angeles,Antelope Valley Hospital,106190034,Pancreatic Resection,0,0,6,-118.15767,34.68928,As Expected
2012,Los Angeles,Antelope Valley Hospital,106190034,Acute Stroke Ischemic,4.7,12,278,-118.15767,34.68928,As Expected
2012,Los Angeles,Antelope Valley Hospital,106190034,Craniotomy,9.7,8,75,-118.15767,34.68928,As Expected
2012,Los Angeles,Antelope Valley Hospital,106190034,Pneumonia,7.5,29,4,-118.15767,34.68928,As Expected
2012,Los Angeles,Antelope Valley Hospital,106190034,Heart Failure,4.4,15,410,-118.15767,34.68928,As Expected
2012,Los Angeles,Antelope Valley Hospital,106190034,Carotid Endarterectomy,0,0,26,-118.15767,34.68928,As Expected
2012,Los Angeles,Antelope Valley Hospital,106190034,Pancreatic Cancer,,,,-118.15767,34.68928,As Expected
2012,Los Angeles,Antelope Valley Hospital,106190034,GI Hemorrhage,4.2,11,299,-118.15767,34.68928,Worse
2012,Los Angeles,Antelope Valley Hospital,106190034,Espophageal Resection,,,,-118.15767,34.68928,As Expected
2012,Los Angeles,Antelope Valley Hospital,106190034,AMI,7.2,22,384,-118.15767,34.68928,As Expected
2012,Los Angeles,Antelope Valley Hospital,106190034,AAA Repair,0,0,10,-118.15767,34.68928,As Expected
2012,Los Angeles,Catalina Island Medical Center,106190045,Acute Stroke Subarachnoid,,,,-118.33369,33.33887,As Expected
2012,Los Angeles,Catalina Island Medical Center,106190045,Heart Failure,,,,-118.33369,33.33887,As Expected
2012,Los Angeles,Catalina Island Medical Center,106190045,PCI,,,,-118.33369,33.33887,As Expected
2012,Los Angeles,Catalina Island Medical Center,106190045,Pneumonia,,,,-118.33369,33.33887,As Expected
2012,Los Angeles,Catalina Island Medical Center,106190045,Hip Fracture,,,,-118.33369,33.33887,As Expected
2012,Los Angeles,Catalina Island Medical Center,106190045,Pancreatic Resection,,,,-118.33369,33.33887,As Expected
2012,Los Angeles,Catalina Island Medical Center,106190045,Pancreatic Other,,,,-118.33369,33.33887,As Expected
2012,Los Angeles,Catalina Island Medical Center,106190045,Acute Stroke Hemorrhagic,,,,-118.33369,33.33887,As Expected
2012,Los Angeles,Catalina Island Medical Center,106190045,Craniotomy,,,,-118.33369,33.33887,As Expected
2012,Marin,Novato Community Hospital,106214034,AAA Repair,,,,-122.55887,38.09749,As Expected
2012,Mariposa,John C. Fremont Healthcare District,106220733,Pneumonia,,,,-119.97714,37.50126,As Expected
2012,Mariposa,John C. Fremont Healthcare District,106220733,Pancreatic Resection,,,,-119.97714,37.50126,As Expected
2012,Mariposa,John C. Fremont Healthcare District,106220733,Pancreatic Other,,,,-119.97714,37.50126,As Expected
2012,Mariposa,John C. Fremont Healthcare District,106220733,Pancreatic Cancer,,,,-119.97714,37.50126,As Expected
2012,Mariposa,John C. Fremont Healthcare District,106220733,PCI,,,,-119.97714,37.50126,As Expected
2012,Mariposa,John C. Fremont Healthcare District,106220733,Hip Fracture,,,,-119.97714,37.50126,As Expected
2012,Mariposa,John C. Fremont Healthcare District,106220733,Heart Failure,33.2,1,6,-119.97714,37.50126,As Expected
2012,Mariposa,John C. Fremont Healthcare District,106220733,GI Hemorrhage,,,,-119.97714,37.50126,As Expected
2012,Mariposa,John C. Fremont Healthcare District,106220733,Espophageal Resection,,,,-119.97714,37.50126,As Expected
2012,Mariposa,John C. Fremont Healthcare District,106220733,Acute Stroke Ischemic,,,,-119.97714,37.50126,As Expected
2012,Mariposa,John C. Fremont Healthcare District,106220733,AMI,0,0,6,-119.97714,37.50126,As Expected
2012,Mariposa,John C. Fremont Healthcare District,106220733,Acute Stroke,,,,-119.97714,37.50126,As Expected
2012,Mariposa,John C. Fremont Healthcare District,106220733,AAA Repair,,,,-119.97714,37.50126,As Expected
2012,Mariposa,John C. Fremont Healthcare District,106220733,Acute Stroke Hemorrhagic,,,,-119.97714,37.50126,As Expected
2012,Mariposa,John C. Fremont Healthcare District,106220733,Acute Stroke Subarachnoid,,,,-119.97714,37.50126,As Expected
2012,Mariposa,John C. Fremont Healthcare District,106220733,Craniotomy,,,,-119.97714,37.50126,As Expected
2012,Mariposa,John C. Fremont Healthcare District,106220733,Carotid Endarterectomy,,,,-119.97714,37.50126,As Expected
2012,Mendocino,Frank R. Howard Memorial Hospital,106230949,Pancreatic Resection,,,,-123.34973,39.40079,As Expected
2012,Mendocino,Frank R. Howard Memorial Hospital,106230949,Pancreatic Other,,,,-123.34973,39.40079,As Expected
2012,Mendocino,Frank R. Howard Memorial Hospital,106230949,Pancreatic Cancer,,,,-123.34973,39.40079,As Expected
2012,Mendocino,Frank R. Howard Memorial Hospital,106230949,PCI,,,,-123.34973,39.40079,As Expected
2012,Mendocino,Frank R. Howard Memorial Hospital,106230949,Hip Fracture,5.8,2,4,-123.34973,39.40079,As Expected
2012,Mendocino,Frank R. Howard Memorial Hospital,106230949,Heart Failure,5.1,1,23,-123.34973,39.40079,As Expected
2012,Mendocino,Frank R. Howard Memorial Hospital,106230949,GI Hemorrhage,0,0,15,-123.34973,39.40079,As Expected
2012,Mendocino,Frank R. Howard Memorial Hospital,106230949,Espophageal Resection,,,,-123.34973,39.40079,As Expected
2012,Mendocino,Frank R. Howard Memorial Hospital,106230949,Craniotomy,,,,-123.34973,39.40079,As Expected
2012,Mendocino,Frank R. Howard Memorial Hospital,106230949,Acute Stroke Hemorrhagic,,,,-123.34973,39.40079,As Expected
2012,Mendocino,Frank R. Howard Memorial Hospital,106230949,Acute Stroke,7.5,1,19,-123.34973,39.40079,As Expected
2012,Mendocino,Frank R. Howard Memorial Hospital,106230949,AMI,,,,-123.34973,39.40079,As Expected
2012,Mendocino,Frank R. Howard Memorial Hospital,106230949,Acute Stroke Ischemic,0,0,17,-123.34973,39.40079,As Expected
2012,Mendocino,Frank R. Howard Memorial Hospital,106230949,AAA Repair,,,,-123.34973,39.40079,As Expected
2012,Mendocino,Frank R. Howard Memorial Hospital,106230949,Carotid Endarterectomy,,,,-123.34973,39.40079,As Expected
2012,Mendocino,Frank R. Howard Memorial Hospital,106230949,Acute Stroke Subarachnoid,,,,-123.34973,39.40079,As Expected
2012,Mendocino,Frank R. Howard Memorial Hospital,106230949,Pneumonia,,,,-123.34973,39.40079,As Expected
2012,Mendocino,Mendocino Coast District Hospital,106231013,GI Hemorrhage,6.4,1,26,-123.80068,39.4326,As Expected
2012,Mendocino,Mendocino Coast District Hospital,106231013,Pneumonia,,,,-123.80068,39.4326,As Expected
2012,Mendocino,Mendocino Coast District Hospital,106231013,Pancreatic Other,,,,-123.80068,39.4326,As Expected
2012,Mendocino,Mendocino Coast District Hospital,106231013,Pancreatic Cancer,,,,-123.80068,39.4326,As Expected
2012,Mendocino,Mendocino Coast District Hospital,106231013,Pancreatic Resection,,,,-123.80068,39.4326,As Expected
2012,Mendocino,Mendocino Coast District Hospital,106231013,PCI,,,,-123.80068,39.4326,As Expected
2012,Mendocino,Mendocino Coast District Hospital,106231013,Hip Fracture,0,0,14,-123.80068,39.4326,As Expected
2012,Mendocino,Mendocino Coast District Hospital,106231013,Heart Failure,14.6,4,30,-123.80068,39.4326,Worse
2012,Mendocino,Mendocino Coast District Hospital,106231013,Espophageal Resection,,,,-123.80068,39.4326,As Expected
2012,Mendocino,Mendocino Coast District Hospital,106231013,Craniotomy,,,,-123.80068,39.4326,As Expected
2012,Mendocino,Mendocino Coast District Hospital,106231013,Carotid Endarterectomy,,,,-123.80068,39.4326,As Expected
2012,Mendocino,Mendocino Coast District Hospital,106231013,Acute Stroke Subarachnoid,,,,-123.80068,39.4326,As Expected
2012,Mendocino,Mendocino Coast District Hospital,106231013,Acute Stroke Ischemic,5.2,1,20,-123.80068,39.4326,As Expected
2012,Mendocino,Mendocino Coast District Hospital,106231013,Acute Stroke Hemorrhagic,,,,-123.80068,39.4326,As Expected
2012,Mendocino,Mendocino Coast District Hospital,106231013,Acute Stroke,16.4,2,21,-123.80068,39.4326,As Expected
2015,Marin,Novato Community Hospital,106214034,Craniotomy,,,,-122.55887,38.09749,As Expected
2015,Marin,Novato Community Hospital,106214034,Carotid Endarterectomy,,,,-122.55887,38.09749,As Expected
2015,Marin,Novato Community Hospital,106214034,Acute Stroke Subarachnoid,,,,-122.55887,38.09749,As Expected
2015,Marin,Novato Community Hospital,106214034,Pneumonia,2,1,39,-122.55887,38.09749,As Expected
2015,Marin,Novato Community Hospital,106214034,Acute Stroke Ischemic,0,0,32,-122.55887,38.09749,As Expected
2015,Marin,Novato Community Hospital,106214034,PCI,,,,-122.55887,38.09749,As Expected
2015,Marin,Novato Community Hospital,106214034,Acute Stroke Hemorrhagic,,,,-122.55887,38.09749,As Expected
2015,Marin,Novato Community Hospital,106214034,Acute Stroke,0,0,34,-122.55887,38.09749,As Expected
2015,Marin,Novato Community Hospital,106214034,AMI,0,0,6,-122.55887,38.09749,As Expected
2015,Marin,Novato Community Hospital,106214034,AAA Repair Unruptured,,,,-122.55887,38.09749,As Expected
2015,Marin,Novato Community Hospital,106214034,Pancreatic Resection,,,,-122.55887,38.09749,As Expected
2015,Marin,Novato Community Hospital,106214034,Pancreatic Other,,,,-122.55887,38.09749,As Expected
2015,Marin,Novato Community Hospital,106214034,Espophageal Resection,,,,-122.55887,38.09749,As Expected
2015,Marin,Novato Community Hospital,106214034,GI Hemorrhage,0,0,27,-122.55887,38.09749,As Expected
2015,Marin,Novato Community Hospital,106214034,Pancreatic Cancer,,,,-122.55887,38.09749,As Expected
2015,Mariposa,John C. Fremont Healthcare District,106220733,Pancreatic Resection,,,,-119.97714,37.50126,As Expected
2015,Mariposa,John C. Fremont Healthcare District,106220733,Pancreatic Other,,,,-119.97714,37.50126,As Expected
2015,Mariposa,John C. Fremont Healthcare District,106220733,Pancreatic Cancer,,,,-119.97714,37.50126,As Expected
2015,Mariposa,John C. Fremont Healthcare District,106220733,PCI,,,,-119.97714,37.50126,As Expected
2015,Mariposa,John C. Fremont Healthcare District,106220733,Pneumonia,0,0,11,-119.97714,37.50126,As Expected
2015,Mariposa,John C. Fremont Healthcare District,106220733,Hip Fracture,,,,-119.97714,37.50126,As Expected
2015,Mariposa,John C. Fremont Healthcare District,106220733,Heart Failure,9.6,1,24,-119.97714,37.50126,As Expected
2015,Mariposa,John C. Fremont Healthcare District,106220733,GI Hemorrhage,,,,-119.97714,37.50126,As Expected
2015,Mariposa,John C. Fremont Healthcare District,106220733,Espophageal Resection,,,,-119.97714,37.50126,As Expected
2015,Mariposa,John C. Fremont Healthcare District,106220733,Acute Stroke Subarachnoid,,,,-119.97714,37.50126,As Expected
2015,Mariposa,John C. Fremont Healthcare District,106220733,Acute Stroke,,,,-119.97714,37.50126,As Expected
2015,Mariposa,John C. Fremont Healthcare District,106220733,AMI,,,,-119.97714,37.50126,As Expected
2015,Mariposa,John C. Fremont Healthcare District,106220733,AAA Repair Unruptured,,,,-119.97714,37.50126,As Expected
2015,Mariposa,John C. Fremont Healthcare District,106220733,Acute Stroke Ischemic,,,,-119.97714,37.50126,As Expected
2015,Mariposa,John C. Fremont Healthcare District,106220733,Carotid Endarterectomy,,,,-119.97714,37.50126,As Expected
2015,Mariposa,John C. Fremont Healthcare District,106220733,Craniotomy,,,,-119.97714,37.50126,As Expected
2015,Mariposa,John C. Fremont Healthcare District,106220733,Acute Stroke Hemorrhagic,,,,-119.97714,37.50126,As Expected
2015,Mendocino,Frank R. Howard Memorial Hospital,106230949,Pneumonia,0,0,36,-123.34973,39.40079,As Expected
2015,Mendocino,Frank R. Howard Memorial Hospital,106230949,Pancreatic Other,,,,-123.34973,39.40079,As Expected
2015,Mendocino,Frank R. Howard Memorial Hospital,106230949,Pancreatic Cancer,,,,-123.34973,39.40079,As Expected
2015,Mendocino,Frank R. Howard Memorial Hospital,106230949,Pancreatic Resection,,,,-123.34973,39.40079,As Expected
2015,Mendocino,Frank R. Howard Memorial Hospital,106230949,PCI,,,,-123.34973,39.40079,As Expected
2015,Mendocino,Frank R. Howard Memorial Hospital,106230949,Hip Fracture,6.1,2,50,-123.34973,39.40079,As Expected
2015,Mendocino,Frank R. Howard Memorial Hospital,106230949,Heart Failure,0,0,23,-123.34973,39.40079,As Expected
2015,Mendocino,Frank R. Howard Memorial Hospital,106230949,GI Hemorrhage,0,0,10,-123.34973,39.40079,As Expected
2015,Mendocino,Frank R. Howard Memorial Hospital,106230949,Espophageal Resection,,,,-123.34973,39.40079,As Expected
2015,Mendocino,Frank R. Howard Memorial Hospital,106230949,Craniotomy,,,,-123.34973,39.40079,As Expected
2015,Mendocino,Frank R. Howard Memorial Hospital,106230949,Acute Stroke Subarachnoid,,,,-123.34973,39.40079,As Expected
2015,Mendocino,Frank R. Howard Memorial Hospital,106230949,Carotid Endarterectomy,,,,-123.34973,39.40079,As Expected
2015,Mendocino,Frank R. Howard Memorial Hospital,106230949,Acute Stroke Ischemic,0,0,10,-123.34973,39.40079,As Expected
2015,Mendocino,Frank R. Howard Memorial Hospital,106230949,Acute Stroke Hemorrhagic,,,,-123.34973,39.40079,As Expected
2015,Mendocino,Frank R. Howard Memorial Hospital,106230949,Acute Stroke,0,0,10,-123.34973,39.40079,As Expected
2015,Mendocino,Frank R. Howard Memorial Hospital,106230949,AMI,,,,-123.34973,39.40079,As Expected
2015,Mendocino,Frank R. Howard Memorial Hospital,106230949,AAA Repair Unruptured,,,,-123.34973,39.40079,As Expected
2015,Mendocino,Mendocino Coast District Hospital,106231013,Pneumonia,6,2,35,-123.80068,39.4326,As Expected
2015,Mendocino,Mendocino Coast District Hospital,106231013,Pancreatic Resection,,,,-123.80068,39.4326,As Expected
2015,Plumas,Seneca District Hospital,106321016,Acute Stroke,,,,-121.23421,40.30518,As Expected
2015,Plumas,Seneca District Hospital,106321016,AMI,,,,-121.23421,40.30518,As Expected
2015,Plumas,Seneca District Hospital,106321016,AAA Repair Unruptured,,,,-121.23421,40.30518,As Expected
2015,Riverside,Corona Regional Medical Center – Main,106331152,Pancreatic Resection,,,,-117.566802,33.873335,As Expected
2015,Riverside,Corona Regional Medical Center – Main,106331152,Pancreatic Other,,,,-117.566802,33.873335,As Expected
2015,Riverside,Corona Regional Medical Center – Main,106331152,Pancreatic Cancer,,,,-117.566802,33.873335,As Expected
2015,Riverside,Corona Regional Medical Center – Main,106331152,PCI,,,,-117.566802,33.873335,As Expected
2015,Riverside,Corona Regional Medical Center – Main,106331152,Hip Fracture,0,0,60,-117.566802,33.873335,As Expected
2015,Riverside,Corona Regional Medical Center – Main,106331152,Pneumonia,2.6,13,213,-117.566802,33.873335,As Expected
2015,Riverside,Corona Regional Medical Center – Main,106331152,Heart Failure,1,5,233,-117.566802,33.873335,Better
2015,Riverside,Corona Regional Medical Center – Main,106331152,GI Hemorrhage,4.3,6,119,-117.566802,33.873335,As Expected
2015,Riverside,Corona Regional Medical Center – Main,106331152,Espophageal Resection,,,,-117.566802,33.873335,As Expected
2015,Riverside,Corona Regional Medical Center – Main,106331152,Craniotomy,,,,-117.566802,33.873335,As Expected
2015,Riverside,Corona Regional Medical Center – Main,106331152,Carotid Endarterectomy,0,0,6,-117.566802,33.873335,As Expected
2015,Riverside,Corona Regional Medical Center – Main,106331152,Acute Stroke Subarachnoid,,,,-117.566802,33.873335,As Expected
2015,Riverside,Corona Regional Medical Center – Main,106331152,Acute Stroke Ischemic,1.9,2,63,-117.566802,33.873335,As Expected
2015,Riverside,Corona Regional Medical Center – Main,106331152,Acute Stroke Hemorrhagic,15.3,1,3,-117.566802,33.873335,As Expected
2015,Riverside,Corona Regional Medical Center – Main,106331152,Acute Stroke,4,3,66,-117.566802,33.873335,As Expected
2015,Riverside,Corona Regional Medical Center – Main,106331152,AMI,3.4,2,28,-117.566802,33.873335,As Expected
2015,Riverside,Corona Regional Medical Center – Main,106331152,AAA Repair Unruptured,0,0,3,-117.566802,33.873335,As Expected
2015,Riverside,Desert Regional Medical Center,106331164,Pneumonia,2.6,9,287,-116.54549,33.83932,As Expected
2015,Riverside,Desert Regional Medical Center,106331164,Pancreatic Other,,,,-116.54549,33.83932,As Expected
2015,Riverside,Desert Regional Medical Center,106331164,Pancreatic Cancer,,,,-116.54549,33.83932,As Expected
2015,Riverside,Desert Regional Medical Center,106331164,PCI,5.3,9,298,-116.54549,33.83932,As Expected
2015,Riverside,Desert Regional Medical Center,106331164,Pancreatic Resection,,,,-116.54549,33.83932,As Expected
2015,Riverside,Desert Regional Medical Center,106331164,Hip Fracture,2.1,2,156,-116.54549,33.83932,As Expected
2015,Riverside,Desert Regional Medical Center,106331164,Heart Failure,3,9,292,-116.54549,33.83932,As Expected
2015,Riverside,Desert Regional Medical Center,106331164,GI Hemorrhage,2.4,5,263,-116.54549,33.83932,As Expected
2015,Riverside,Desert Regional Medical Center,106331164,Espophageal Resection,,,,-116.54549,33.83932,As Expected
2015,Riverside,Desert Regional Medical Center,106331164,Craniotomy,10.7,18,114,-116.54549,33.83932,As Expected
2015,Riverside,Desert Regional Medical Center,106331164,Carotid Endarterectomy,0,0,49,-116.54549,33.83932,As Expected
2015,Riverside,Desert Regional Medical Center,106331164,Acute Stroke Subarachnoid,27.2,10,38,-116.54549,33.83932,As Expected
2015,Riverside,Desert Regional Medical Center,106331164,Acute Stroke Ischemic,5.1,18,296,-116.54549,33.83932,As Expected
2015,Riverside,Desert Regional Medical Center,106331164,Acute Stroke Hemorrhagic,20.8,25,108,-116.54549,33.83932,As Expected
2015,Riverside,Desert Regional Medical Center,106331164,Acute Stroke,9.2,53,442,-116.54549,33.83932,As Expected
2015,Riverside,Desert Regional Medical Center,106331164,AMI,9,30,376,-116.54549,33.83932,Worse
2015,Riverside,Desert Regional Medical Center,106331164,AAA Repair Unruptured,0,0,17,-116.54549,33.83932,As Expected
2015,Riverside,Eisenhower Medical Center,106331168,Pneumonia,2.7,19,458,-116.40808,33.76418,As Expected
2015,Riverside,Eisenhower Medical Center,106331168,Pancreatic Resection,,,,-116.40808,33.76418,As Expected
2015,Riverside,Eisenhower Medical Center,106331168,Pancreatic Cancer,,,,-116.40808,33.76418,As Expected
2015,Riverside,Eisenhower Medical Center,106331168,PCI,3.6,6,282,-116.40808,33.76418,As Expected
2015,Riverside,Eisenhower Medical Center,106331168,Hip Fracture,1.8,4,239,-116.40808,33.76418,As Expected
2015,Riverside,Eisenhower Medical Center,106331168,Pancreatic Other,,,,-116.40808,33.76418,As Expected
2015,Riverside,Eisenhower Medical Center,106331168,Heart Failure,1,8,490,-116.40808,33.76418,Better
